source;source_type;source_code;genus;species;common_name;type;count;date;period;town;country;number;sampling_allowed;notes;
National Museum Ireland (NMI);email;NMI;Globicephala;mephas;Long-finned pilot whale;teeth;;1965;recent stranding;Donabate Beach;Ireland;NH:1966.13;NA;NA;
National Museum Ireland (NMI);email;NMI;Grampus;griseus;Risso's dolphin;skeleton;;NA;NA;Barranagh Island;Ireland;NH:1933.82.1;NA;NA;
National Museum Ireland (NMI);email;NMI;Grampus;griseus;Risso's dolphin;tooth;;1909;NA;;NA;NH:2008.85.136;NA;"date unsure; sectioned";
National Museum Ireland (NMI);email;NMI;Grampus;griseus;Risso's dolphin;skeleton;;NA;NA;Elly Bay;Ireland;NH:1933.44.2;NA;NA;
National Museum Ireland (NMI);email;NMI;Grampus;griseus;Risso's dolphin;skull;;NA;NA;Ballinskelligs Bay;Ireland;NH:1933.105.1;NA;possibly older;
National Museum Ireland (NMI);email;NMI;Grampus;griseus;Risso's dolphin;skeleton;;NA;NA;Elly Bay;Ireland;NH:1933.44.2.skeleton;NA;NA;
National Museum Ireland (NMI);email;NMI;Grampus;griseus;Risso's dolphin;skeleton;;NA;NA;Barranagh Island;Ireland;NH:1933.82.2;NA;NA;
National Museum Ireland (NMI);email;NMI;Lagenorhynchus;acutus;White-sided dolphin;skeleton;;1966;recent bycatch;Arranmore Island;Ireland;NH:1966.18.1;NA;NA;
National Museum Ireland (NMI);email;NMI;Lagenorhynchus;acutus;White-sided dolphin;skeleton;;NA;NA;;;NH:2007.51.1;NA;NA;
National Museum Ireland (NMI);email;NMI;Lagenorhynchus;acutus;White-sided dolphin;skeleton;;NA;recent stranding;Dingle;Ireland;NH:1981.29.1;NA;NA;
National Museum Ireland (NMI);email;NMI;Lagenorhynchus;acutus;White-sided dolphin;skeleton;;1933;NA;Cartron Bay;Ireland;NH:1933.66.1;NA;NA;
