Museum_Location,Registration Nr.,Length_Left_Maxillae,Length_Right_Maxillae,Rostrum_Length, Condylobasal_Length ,Width_Occipital_Condyles,Year,Date,Location,Country,Sex,Size (cm),Weight (kg),Life stage,Notes,,,
Rotterdam,9990-01507,20.113,20.334,9.821,NA,NA,1993,1993-04-00,North Sea,NA,NA,NA,NA,NA,"broken skull, no condyles, maxilla could be longer",,,
Rotterdam,9990-01505,20.690,21.656,10.275,25.783,7.104,1993,1993-06-00,North Sea,United Kingdom,NA,NA,NA,NA,,,,
Rotterdam,9990-01508,19.225,19.032,9.116,23.494,6.541,NA,NA,North Sea,United Kingdom,NA,NA,NA,NA,,,,
Rotterdam,9990-01511,22.191,22.142,9.904,25.687,6.691,1993,1993-06-00,North Sea,NA,NA,NA,NA,NA,,,,
Rotterdam,9990-01512,21.063,21.630,10.432,23.538,NA,1993,1993-06-00,North Sea,United Kingdom,NA,NA,NA,NA,condyles broken off,,,
Rotterdam,9990-01509,21.854,21.941,11.073,NA,NA,1993,1993-04-00,North Sea,NA,NA,NA,NA,NA,"condyles missing, no pic of dorsal side",,,
Rotterdam,9990-01510,19.366,18.619,9.338,22.973,7.251,1993,1993-04-00,North Sea,NA,NA,NA,NA,NA,,,,
Rotterdam,9990-01513,NA,NA,10.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"broken skull, only rostrum there",,,
Rotterdam,9990-01506,20.042,20.924,10.013,NA,NA,1993,1993-04-00,North Sea,United Kingdom,NA,NA,NA,NA,"broken skull, only rostrum and maxilla available",,,
Rotterdam,9990-1360,NA,NA,NA,NA,5.982,1995,1995-04-02,"Noord-Holland, Den Helder",Netherlands,NA,NA,NA,NA,only condyles available,,,
Rotterdam,9990-1359,20.906,21.311,9.672,25.201,7.513,1995,1995-11-25,"Zuid-Holland, Scheveningen",Netherlands,F,NA,49.5,NA,,,,
Rotterdam,9990-1354,17.739,17.980,8.316,20.609,5.905,2001,2001-04-15,"Netherlands, Groningen",Netherlands,F,NA,17.0,NA,,,,
Rotterdam,9990-1343,16.319,16.447,7.807,20.012,5.736,2001,2001-04-05,"Friesland, Terschelling",Netherlands,M,NA,14.0,NA,,,,
Rotterdam,9990-1350,NA,NA,NA,17.792,6.298,2000,2000-08-21,"Friesland, Vlieland",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-1344,21.086,20.930,9.753,25.242,7.130,2000,2000-06-27,"Zeeland, Zuid-Beveland",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-1358,17.507,17.894,8.659,21.988,5.931,NA,NA,"Noord-Holland, Zandvoort",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-1353,21.179,21.287,10.145,24.691,6.726,NA,NA,"Friesland, Harlingen",Netherlands,M,NA,48.0,NA,,,,
Rotterdam,9990-1355,NA,NA,NA,23.014,5.976,2000,2000-01-26,"Friesland, Vlieland",Netherlands,F,NA,23.8,NA,ventral side pic missing,,,
Rotterdam,9990-1405,17.719,18.034,8.785,22.061,5.608,2000,2000-03-24,"Zuid-Holland, Noordwijk aan Zee",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-1408,16.461,16.721,7.914,20.306,5.637,2000,2000-02-10,"Noord-Holland, Egmond aan Zee",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-1409,17.112,17.249,8.178,21.520,5.654,2000,2000-02-24,"Zuid-Holland, Noordwijk aan Zee",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-0319,15.807,15.992,7.529,19.607,5.587,1988,1988-03-18,"Friesland, Vlieland",Netherlands,M,115,24.0,juvenile,,,,
Rotterdam,9990-0328,19.517,19.469,9.067,21.854,6.220,1998,1998-07-16,"Noord-Holland, (Strand) Petten",Netherlands,F,104.5,15.0,juvenile,,,,
Rotterdam,9990-0324,21.976,21.831,10.473,26.337,6.745,1997,1997-03-26,"Zeeland, Walcheren, Zoutelande",Netherlands,NA,NA,NA,NA,"rostrum a bit broken, condylosbasal length and rostrum length a bit smaller due to damage",,,
Rotterdam,9990-0336,21.494,21.858,10.407,25.595,7.550,1999,1999-02-12,"Zuid-Holland, Hoek van Holland",Netherlands,M,119,26.0,juvenile,,,,
Rotterdam,9990-0332,19.683,20.144,9.124,23.724,6.546,1998 ,1998 (summer),Nederlands kust (exact location unknown),Netherlands,F,138,31,adult,,,,
Rotterdam,9990-0331,19.039,19.444,9.469,23.432,6.947,1997,1997-03-03,"Noord-Holland, Egmond aan Zee",Netherlands,M,139,33,adult,,,,
Rotterdam,9990-0330,18.604,18.686,8.941,22.505,5.754,1997,1997-02-25,North Sea,NA,NA,NA,NA,NA,,,,
Rotterdam,9990-0404,21.605,22.066,10.207,25.783,7.202,1998,1998-01-29,"Texel, De Hors",Netherlands,F,153,42.0,adult,,,,
